"","name","price_dollar","date","var_perc"
"201","Norway",7.79543479849613,"2014-01-01",3.8504434536177
"202","Russia",2.62233255007108,"2014-01-01",-0.716379731567365
"203","Sweden",6.28751071734781,"2014-01-01",2.12180649135239
"204","Turkey",3.75848422542062,"2014-01-01",-13.4465300347107
"205","United States",4.624166667,"2014-01-01",1.48134601305915
"206","Brazil",5.85519648688211,"2014-07-01",11.5816295026352
"207","Canada",5.25115218099716,"2014-07-01",4.7481638126347
"208","China",2.72655405514415,"2014-07-01",-0.607249675338496
"209","Czech Republic",3.45551484473482,"2014-07-01",-0.509620996973666
"210","Denmark",5.14551888495703,"2014-07-01",-0.675236513324185
"211","New Zealand",4.94475000069227,"2014-07-01",8.1558441892373
"212","Norway",7.75782651560455,"2014-07-01",-0.482439836439151
"213","Russia",2.55473666836504,"2014-07-01",-2.57770059347394
"214","Sweden",5.95377413692218,"2014-07-01",-5.3079286132241
"215","Turkey",4.42319187089062,"2014-07-01",17.6855244189726
"216","United States",4.795,"2014-07-01",3.69435933655114
"217","Brazil",5.20682672837721,"2015-01-01",-11.0734073563116
"218","Canada",4.63961580725245,"2015-01-01",-11.6457560677394
"219","China",2.76905739354423,"2015-01-01",1.55886652310778
"220","Czech Republic",2.91920897516911,"2015-01-01",-15.5202883987859
"221","Denmark",5.37600897559759,"2015-01-01",4.47943338259634
"222","New Zealand",4.49255500105261,"2015-01-01",-9.14495170789933
"223","Norway",6.29714660544441,"2015-01-01",-18.8284683502788
"224","Russia",1.36446563539638,"2015-01-01",-46.5907522958284
"225","Sweden",4.96859530363977,"2015-01-01",-16.5471314602421
"226","Turkey",3.96408750991022,"2015-01-01",-10.3794810259487
"227","United States",4.79,"2015-01-01",-0.104275286757036
"228","Brazil",4.28251939029613,"2015-07-01",-17.7518359319238
"229","Canada",4.53593859036985,"2015-07-01",-2.23460780352837
"230","China",2.73787283385943,"2015-07-01",-1.12617960745421
"231","Czech Republic",2.83374996204799,"2015-07-01",-2.92747158041918
"232","Denmark",5.07851212368137,"2015-07-01",-5.53378636952802
"233","New Zealand",3.90963499998182,"2015-07-01",-12.9752446199147
"234","Norway",5.64933589600309,"2015-07-01",-10.2873690264925
"235","Russia",1.88330546510605,"2015-07-01",38.0251298567102
"236","Sweden",5.12751315611928,"2015-07-01",3.19844629654371
"237","Turkey",3.8742109838606,"2015-07-01",-2.26726896984296
"238","United States",4.79,"2015-07-01",0
"239","Brazil",3.35420393559928,"2016-01-01",-21.6768535082488
"240","Canada",4.14419528810673,"2016-01-01",-8.63643310989323
"241","China",2.68366320026837,"2016-01-01",-1.97999092290387
"242","Czech Republic",2.98279523707257,"2016-01-01",5.25964806425111
"243","Denmark",4.32245515452777,"2016-01-01",-14.8873715517595
"244","New Zealand",3.91228999917255,"2016-01-01",0.0679091319456332
"245","Norway",5.21468803797362,"2016-01-01",-7.69378677477795
"246","Russia",1.52702431183444,"2016-01-01",-18.9178632926415
"247","Sweden",5.23143277318251,"2016-01-01",2.02670600540947
"248","Turkey",3.40576820839979,"2016-01-01",-12.091307814992
"249","United States",4.93,"2016-01-01",2.92275574112734
"250","Brazil",4.78181060944948,"2016-07-01",42.561713636387
"251","Canada",4.60475825019186,"2016-07-01",11.1134473659311
"252","China",2.78526504941599,"2016-07-01",3.78593890386343
"253","Czech Republic",3.05541919332859,"2016-07-01",2.43476170785712
"254","Denmark",4.43974160703847,"2016-07-01",2.713422078835
"255","New Zealand",4.22130000059584,"2016-07-01",7.89844314937393
"256","Norway",5.51006351878778,"2016-07-01",5.66429820275385
"257","Russia",2.05022903423961,"2016-07-01",34.2630250448757
"258","Sweden",5.22871254297632,"2016-07-01",-0.0519978048870283
"259","Turkey",3.53263995005011,"2016-07-01",3.72520188947145
"260","United States",5.04,"2016-07-01",2.23123732251522
"261","Brazil",5.11794537756479,"2017-01-01",7.02944544585409
"262","Canada",4.50980392156863,"2017-01-01",-2.06209150326797
"263","China",2.82967112291745,"2017-01-01",1.59432128410066
"264","Czech Republic",2.90565343302953,"2017-01-01",-4.90164363129196
"265","Denmark",4.22460834360148,"2017-01-01",-4.84562577011088
"266","New Zealand",4.18530000010673,"2017-01-01",-0.852817863786749
"267","Norway",5.66582064786925,"2017-01-01",2.82677556348258
"268","Russia",2.15098241985522,"2017-01-01",4.91425025853156
"269","Sweden",5.26053339616748,"2017-01-01",0.608579127837313
"270","Turkey",2.74855221610012,"2017-01-01",-22.1955179422932
"271","United States",5.06,"2017-01-01",0.396825396825388
"272","Brazil",5.10156757258139,"2017-07-01",-0.320007420461933
"273","Canada",4.6556967948218,"2017-07-01",3.23501588517915
"274","China",2.9171270718232,"2017-07-01",3.09067538617656
"275","Czech Republic",3.28139971386194,"2017-07-01",12.9315587523681
"276","Denmark",4.60649054517816,"2017-07-01",9.03946994648793
"277","New Zealand",4.43225999862689,"2017-07-01",5.90065224748197
"278","Norway",5.91416018925313,"2017-07-01",4.38311688311689
"279","Russia",2.27813538775693,"2017-07-01",5.91139038273826
"280","Sweden",5.81892070131244,"2017-07-01",10.6146518440841
"281","Turkey",3.00611009353896,"2017-07-01",9.37067434739447
"282","United States",5.3,"2017-07-01",4.74308300395257
"283","Brazil",5.11168251804579,"2018-01-01",0.198271321912085
"284","Canada",5.25724375953126,"2018-01-01",12.9206645367996
"285","China",3.17164179104478,"2018-01-01",8.72484170058795
"286","Czech Republic",3.80777943799104,"2018-01-01",16.0413168168892
"287","Denmark",4.93202031992372,"2018-01-01",7.06676311506404
"288","New Zealand",4.51019000139252,"2018-01-01",1.75824529223869
"289","Norway",6.24195870116304,"2018-01-01",5.54260455280825
"290","Russia",2.29095074455899,"2018-01-01",0.562537102532591
"291","Sweden",6.12311068987878,"2018-01-01",5.22760154641289
"292","Turkey",2.82701309630253,"2018-01-01",-5.95776573923105
"293","United States",5.28,"2018-01-01",-0.37735849056603
"294","Brazil",4.40293355217737,"2018-07-01",-13.8652774965253
"295","Canada",5.06724578047015,"2018-07-01",-3.6140226276678
"296","China",3.09574146783449,"2018-07-01",-2.39309254357133
"297","Czech Republic",3.39908677868546,"2018-07-01",-10.7330969653326
"298","Denmark",4.71764872387602,"2018-07-01",-4.34652702426445
"299","Norway",5.22290617422123,"2018-07-01",-16.3258453913182
"300","New Zealand",4.23397999999999,"2018-07-01",-6.12413227175012
"301","Russia",2.09202832606353,"2018-07-01",-8.68296356732672
"302","Sweden",5.82684002467838,"2018-07-01",-4.8385645827067
"303","Turkey",2.28419654714475,"2018-07-01",-19.2010624169987
"304","United States",5.51,"2018-07-01",4.3560606060606
